Rxn_name	Comp_correction	Species	Ratelaw						
vD3	Nucleus	 p53inac ; p53ac	kD3_1 + kD3_2*p53inac*((ATMP^kD3_3)/((ATMP^kD3_3)+(kD3_4^kD3_3))+(ATRac^kD3_3)/((ATRac^kD3_3)+(kD3_4^kD3_3)))	5.000000E-04	2.777778E-03	4.000000E+00	1.000000E+03		
vD4	Nucleus	 p53ac ; p53inac	kD4*Wip1*p53ac	3.888889E-08					
vD5	Nucleus	 p53inac ; 	kD5*p53inac	5.555556E-04					
vD6	Nucleus	 p53ac ; 	kD6*MDM2*p53ac	3.888889E-07					
vD7	Nucleus	  ; MDM2	0						
vD8	Nucleus	  ; MDM2	0						
vD9	Nucleus	 MDM2 ; 	kD9*MDM2*ATMP	1.388889E-07					
vD10	Nucleus	 MDM2 ; 	kD10*MDM2*ATRac	2.777778E-08					
vD11	Nucleus	 MDM2 ; 	kD11*MDM2	2.777778E-04					
vD12	Nucleus	  ; Wip1	0						
vD13	Nucleus	 Wip1 ; 	kD13*Wip1	1.944444E-04					
vD14	Nucleus	  ; ATMP	kD14_1*((damageDSB^kD14_2)/((kD14_3^kD14_2)+(damageDSB^kD14_2)))	2.777778E+00	2.000000E+01	2.000000E+00			
vD15	Nucleus	 ATMP ; 	kD15_1*ATMP*(Wip1^kD15_2)/((Wip1^kD15_2)+(kD15_3^kD15_2))	1.388889E-02	4.000000E+00	2.000000E+02			
vD16	Nucleus	 ATMP ; 	kD16*ATMP	2.083333E-03					
vD17	Nucleus	  ; ATRac	kD17_1*((damageSSB^kD517_2)/((kD17_3^kD17_2)+(damageSSB^kD17_2)))	1.250000E+00	2.000000E+01	2.000000E+00			
vD18	Nucleus	 ATRac ; 	kD18*ATRac	2.083333E-03					
vD19	Nucleus	 MDM2product1 ; 	MDM2product1/kD19	1.222128E+02					
vD20	Nucleus	  ; MDM2product1	p53ac/kD20	1.222128E+02					
vD21	Nucleus	 MDM2product2 ; 	MDM2product2/kD21	2.110104E+02					
vD22	Nucleus	  ; MDM2product2	MDM2product1/kD22	2.110104E+02					
vD23	Nucleus	 MDM2product3 ; 	MDM2product3/kD23	1.288008E+01					
vD24	Nucleus	  ; MDM2product3	MDM2product2/kD24	1.288008E+01					
vD25	Nucleus	 MDM2product4 ; 	MDM2product4/kD25	1.213380E+03					
vD26	Nucleus	  ; MDM2product4	MDM2product3/kD26	1.213380E+03					
vD27	Nucleus	 MDM2product5 ; 	MDM2product5/kD27	4.858560E+01					
vD28	Nucleus	  ; MDM2product5	MDM2product4/kD28	4.858560E+01					
vD29	Nucleus	 MDM2product6 ; 	MDM2product6/kD29	1.113804E+02					
vD30	Nucleus	  ; MDM2product6	MDM2product5/kD30	1.113804E+02					
vD31	Nucleus	 MDM2product7 ; 	MDM2product7/kD31	1.528632E+01					
vD32	Nucleus	  ; MDM2product7	MDM2product6/kD32	1.528632E+01					
vD33	Nucleus	 MDM2product8 ; 	MDM2product8/kD33	2.919924E+02					
vD34	Nucleus	  ; MDM2product8	MDM2product7/kD34	2.919924E+02					
vD35	Nucleus	 MDM2product9 ; 	MDM2product9/kD35	3.633480E+02					
vD36	Nucleus	  ; MDM2product9	MDM2product8/kD36	3.633480E+02					
vD37	Nucleus	 MDM2pro ; 	MDM2pro/kD37	4.786200E+02					
vD38	Nucleus	  ; MDM2pro	MDM2product9/kD38	4.786200E+02					
vD39	Nucleus	 Wip1product1 ; 	Wip1product1/kD39	2.893572E+02					
vD40	Nucleus	  ; Wip1product1	p53ac/kD40	2.893572E+02					
vD41	Nucleus	 Wip1product2 ; 	Wip1product2/kD41	4.408920E+02					
vD42	Nucleus	  ; Wip1product2	Wip1product1/kD42	4.408920E+02					
vD43	Nucleus	 Wip1product3 ; 	Wip1product3/kD43	5.947920E+02					
vD44	Nucleus	  ; Wip1product3	Wip1product2/kD44	5.947920E+02					
vD45	Nucleus	 Wip1product4 ; 	Wip1product4/kD45	3.572460E+02					
vD46	Nucleus	  ; Wip1product4	Wip1product3/kD46	3.572460E+02					
vD47	Nucleus	 Wip1product5 ; 	Wip1product5/kD47	4.906440E+02					
vD48	Nucleus	  ; Wip1product5	Wip1product4/kD48	4.906440E+02					
vD49	Nucleus	 Wip1product6 ; 	Wip1product6/kD49	1.026180E+03					
vD50	Nucleus	  ; Wip1product6	Wip1product5/kD450	1.026180E+03					
vD51	Nucleus	 Wip1product7 ; 	Wip1product7/kD51	3.807000E+02					
vD52	Nucleus	  ; Wip1product7	Wip1product6/kD52	3.807000E+02					
vD53	Nucleus	 Wip1product8 ; 	Wip1product8/kD53	2.386764E+02					
vD54	Nucleus	  ; Wip1product8	Wip1product7/kD54	2.386764E+02					
vD55	Nucleus	 Wip1product9 ; 	Wip1product9/kD55	3.993120E+02					
vD56	Nucleus	  ; Wip1product9	Wip1product8/kD56	3.993120E+02					
vD57	Nucleus	 Wip1pro ; 	Wip1pro/kD57	1.527624E+02					
vD58	Nucleus	  ; Wip1pro	Wip1product9/kD58	1.527624E+02					
vD59	Nucleus	 MDM2 ; 	kD59*ARF*MDM2	0.000000E+00					
vD60	Nucleus	 pMDM2 ; 	kD60*ARF*pMDM2	0.000000E+00					
vD61	Nucleus	 p53ac + MDM4 ; p53ac_MDM4	kD61*MDM4*p53ac	0.000000E+00					
vD62	Nucleus	 p53ac_MDM4 ; p53ac + MDM4	kD62*p53ac_MDM4	0.000000E+00					
vD63	Nucleus	 damageDSB ; 	kD63*BRCA2*damageDSB	5.000000E-05					
vD64	Nucleus	 damageSSB ; 	kD64*MSH6*damageSSB	1.000000E-05					
vD65	Nucleus	 damageSSB ; 	kD65*MGMT*damageSSB	1.000000E-05					
vD66	Nucleus	  ; damageDSB + damageSSB	(kD66_1+kD66_2*(kD66_3/(kD66_3+kD66_4)))*(((Ma+Me)^kD66_5)/(((Ma+Me)^kD66_5)+(kD66_6^kD66_5)))	1.000000E-06	5.000000E-03	0.000000E+00	5.000000E+03	5.000000E+00	2.000000E+01
vC1	Nucleus	  ; pRB	kC1	0.000000E+00					
vC2	Nucleus	 pRB + E2F ; pRBc1	2.361111E-06						
vC3	Nucleus	 pRBc1 ; pRB + E2F	2.361111E-03						
vC4	Nucleus	 pRB ; pRBp	kC4_1*(pRB/(kC4_2+pRB))*(Md+Mdp27)	1.038889E-02	1.000000E+01				
vC5	Nucleus	 pRBp ; pRB	kC5_1*(pRBp/(kC5_2+pRBp))	9.444444E-01	1.000000E+01				
vC6	Nucleus	 pRB ; 	4.722222E-05						
vC7	Nucleus	 pRBp ; pRBpp	kC7_1*(pRBp/(kC7_2+pRBp))*Me	4.722222E-03	1.000000E+01				
vC8	Nucleus	 pRBpp ; pRBp	kC8_1*(pRBpp/(kC8_2+pRBpp))	9.444444E-01	1.000000E+01				
vC9	Nucleus	 pRBp + E2F ; pRBc2	1.180556E-06						
vC10	Nucleus	 pRBc2 ; pRBp + E2F	2.361111E-03						
vC11	Nucleus	 pRBp ; 	2.833333E-04						
vC12	Nucleus	 pRBpp ; 	1.888889E-04						
vC13	Nucleus	  ; E2F	0.000000E+00						
vC14	Nucleus	 E2F ; E2Fp	kC14_1*Ma*(E2F/(E2F+kc14_2))	1.888889E-02	5.000000E+02				
vC15	Nucleus	 E2Fp ; E2F	kC15_1*(E2Fp/(E2Fp+kC15_2))	3.541667E-01	5.000000E+02				
vC16	Nucleus	 E2F ; 	9.444444E-06						
vC17	Nucleus	 E2Fp ; 	5.194444E-03						
vC18	Nucleus	  ; Cd	0.000000E+00						
vC19	Nucleus	 Cd ; Mdi	kC19_1*Cd*(kC19_2-(Mdi+Md+Mdp27+Mdp21))	8.263889E-06	1.500000E+02				
vC20	Nucleus	 Mdi ; Cd	4.722222E-04						
vC21	Nucleus	 Cd ; 	kC21_1*(Cd/(kC21_2+Cd))	2.361111E+00	1.000000E+01				
vC22	Nucleus	 Cd ; 	2.361111E-05						
vC23	Nucleus	 Md ; Mdi	kC23_1*(Md/(kC23_2+Md))	9.444444E-02	1.000000E+01				
vC24	Nucleus	 Mdi ; Md	kC24_1*(Mdi/(kC24_2+Mdi))	4.722222E-01	1.000000E+01				
vC25	Nucleus	 Md + p27 ; Mdp27	7.083333E-06						
vC26	Nucleus	 Mdp27 ; Md + p27	7.083333E-04						
vC27	Nucleus	  ; Ce	0.000000E+00						
vC28	Nucleus	 Ce ; Mei	kC28_1*Ce*(kC28_2-(Mei+Me+Mep27+Mep21+Mai+Ma+Map27+Map21))	9.444444E-06	2.000000E+02				
vC29	Nucleus	 Mei ; Ce	4.722222E-04						
vC30	Nucleus	 Ce ; 	kC30_1*(Skp2/(kC30_2+Skp2))*(Ce/(kC30_3+Ce))	1.416667E+00	2.000000E+02	1.000000E+01			
vC31	Nucleus	 Me ; Mei	kC31_1*(Wee1+kC31_2)*(Me/(kC31_3+Me))	6.611111E-03	5.000000E+01	1.000000E+01			
vC32	Nucleus	 Mei ; Me	kC32_1*Pe*(Mei/(kC32_2+Mei))	9.444444E-03	1.000000E+01				
vC33	Nucleus	 Me + p27 ; Mep27	9.444444E-06						
vC34	Nucleus	 Mep27 ; Me + p27	4.722222E-04						
vC35	Nucleus	  ; Skp2	0.000000E+00						
vC36	Nucleus	 Skp2 ; 	kC36_1*(Skp2/(k36_2+Skp2))*(Cdh1a/(kC36_3+Cdh1a))	5.194444E-01	5.000000E+01	4.000000E+01			
vC37	Nucleus	 Skp2 ; 	2.361111E-05						
vC38	Nucleus	  ; Pei	0.000000E+00						
vC39	Nucleus	 Pe ; Pei	kC39_1*(kC39_2+(kC39_3*Chk1))*(Pe/(kC39_4+Pe))	3.777778E-01	1.000000E+00	1.000000E-02	1.000000E+01		
vC40	Nucleus	 Pei ; Pe	kC40_1*(Me+kC40_2)*(Pei/(kC40_3+Pei))	2.361111E-02	2.500000E+01	1.000000E+01			
vC41	Nucleus	 Pei ; 	7.083333E-04						
vC42	Nucleus	 Pe ; 	3.541667E-04						
vC43	Nucleus	  ; Ca	0.000000E+00						
vC44	Nucleus	 Ca ; Mai	kC44_1*Ca*(kC44_2-(Mei+Me+Mep27+Mep21+Mai+Ma+Map27+Map21))	9.444444E-06	2.000000E+02				
vC45	Nucleus	 Mai ; Ca	4.722222E-04						
vC46	Nucleus	 Ca ; 	kC46_1*(Ca/(kC46_2+Ca))*(Cdc20a/(kC46_3+Cdc20a))	1.180556E+00	1.100000E+02	2.000000E+02			
vC47	Nucleus	 Ca ; 	2.361111E-05						
vC48	Nucleus	 Ma ; Mai	kC48_1*(Wee1+kC48_2)*(Ma/(kC48_3+Ma))	8.736111E-03	5.000000E+01	1.000000E+01			
vC49	Nucleus	 Mai ; Ma	kC49_1*Pa*(Mai/(kC49_2+Mai))	9.444444E-03	1.000000E+01				
vC50	Nucleus	 Ma + p27 ; Map27	7.083333E-06						
vC51	Nucleus	 Map27 ; Ma + p27	5.902778E-04						
vC52	Nucleus	 p27 ; p27p	kC52_1*Me*(p27/(p27+kC52_2))	4.722222E-01	5.000000E+01				
vC53	Nucleus	 p27p ; p27	kC53_1*(p27p/(p27p+kC53_2))	4.722222E-02	5.000000E+01				
vC54	Nucleus	 p27p ; 	kC54_1*(Skp2/(Skp2+kC54_2))*(p27p/(p27p+kC54_3))	2.361111E+00	1.000000E+01	1.000000E+01			
vC55	Nucleus	 p27p ; 	4.722222E-05						
vC56	Nucleus	 Cdh1a ; Cdh1i	kC56_1*(Cdh1a/(kC56_2+Cdh1a))*(Ma+Mb)	3.777778E-02	1.000000E+00				
vC57	Nucleus	 Cdh1i ; Cdh1a	kC57_1*(Cdh1i/(kC57_2+Cdh1i))	5.902778E-01	1.000000E+00				
vC58	Nucleus	 Cdh1i ; 	9.444444E-04						
vC59	Nucleus	  ; Cdh1a	0.000000E+00						
vC60	Nucleus	 Cdh1a ; 	4.722222E-04						
vC61	Nucleus	  ; Pai	0.000000E+00						
vC62	Nucleus	 Pa ; Pai	kC62_1*(kC62_2+(kC62_3*Chk1))*(Pa/(kC62_4+Pa))	4.722222E-01	1.000000E+00	1.000000E-02	1.000000E+01		
vC63	Nucleus	 Pai ; Pa	kC63_1*(Ma+kC63_2)*(Pai/(kC63_3+Pai))	1.888889E-02	2.000000E+01	1.000000E+01			
vC64	Nucleus	 Pai ; 	7.083333E-04						
vC65	Nucleus	 Pa ; 	3.541667E-04						
vC66	Nucleus	  ; Cb	0.000000E+00						
vC67	Nucleus	 Cb ; Mbi	kC67_1*Cb*(kC67_2-(Mbi+Mb+Mbp27+Mbp21))	1.180556E-05	5.000000E+01				
vC68	Nucleus	 Mbi ; Cb	4.722222E-04						
vC69	Nucleus	 Cb ; 	kC69_1*(Cb/(kC69_2+Cb))*((Cdc20a/(kC69_3+Cdc20a))+(Cdh1a/(kC69_4+Cdh1a)))	2.833333E-02	5.000000E-01	2.000000E+01	1.000000E+01		
vC70	Nucleus	 Cb ; 	2.361111E-05						
vC71	Nucleus	 Mb ; Mbi	kC71_1*(Wee1+kC71_2)*(Mb/(kC71_3+Mb))	9.916667E-03	5.000000E+01	1.000000E+01			
vC72	Nucleus	 Mbi ; Mb	kC72_1*Pb*(Mbi/(kC72_2+Mbi))	1.841667E-02	1.000000E+01				
vC73	Nucleus	 p27 + Mb ; Mbp27	5.666667E-06						
vC74	Nucleus	 Mbp27 ; p27 + Mb	9.444444E-04						
vC75	Nucleus	  ; Cdc20i	0.000000E+00						
vC76	Nucleus	 Cdc20i ; Cdc20a	kC76_1*Mb*(Cdc20i/(kC76_2+Cdc20i))	3.777778E-02	1.000000E+01				
vC77	Nucleus	 Cdc20a ; Cdc20i	kC77_1*(Cdc20a/(kC77_2+Cdc20a))	3.305556E-01	1.000000E+01				
vC78	Nucleus	 Cdc20i ; 	6.611111E-04						
vC79	Nucleus	 Cdc20a ; 	2.361111E-04						
vC80	Nucleus	  ; Pbi	0.000000E+00						
vC81	Nucleus	 Pb ; Pbi	kC81_1*(kC81_2+(kC81_3*Chk1))*(Pb/(kC81_4+Pb))	4.722222E-01	1.000000E+00	1.000000E-02	1.000000E+01		
vC82	Nucleus	 Pbi ; Pb	kC82_1*(Mb+kC82_2)*(Pbi/(kC82_3+Pbi))	2.361111E-02	1.100000E+01	1.000000E+01			
vC83	Nucleus	 Pbi ; 	9.444444E-04						
vC84	Nucleus	 Pb ; 	4.722222E-04						
vC85	Nucleus	  ; Wee1	0.000000E+00						
vC86	Nucleus	 Wee1 ; Wee1p	kC86_1*(Mb+kC86_2)*(Wee1/(kC86_3+Wee1))	5.666667E-03	7.500000E+01	1.000000E+01			
vC87	Nucleus	 Wee1p ; Wee1	kC87_1*(Wee1p/(kC87_2+Wee1p))	4.722222E-01	1.000000E+01				
vC88	Nucleus	 Wee1 ; 	4.722222E-04						
vC89	Nucleus	 Wee1p ; 	9.444444E-04						
vC90	Nucleus	  ; Chk1	kC90_1*ATRac*((kC90_2-Chk1)/(kC90_3+(kC90_2-Chk1)))	1.888889E-02	5.000000E+01	5.000000E+01			
vC91	Nucleus	 Chk1 ; 	kC91_1*(Chk1/(kC91_2+Chk1))	4.722222E-02	5.000000E+01				
vC92	Nucleus	 Ce ; 	2.361111E-05						
vC93	Nucleus	  ; p27	0.000000E+00						
vC94	Nucleus	  ; p27	0.000000E+00						
vC95	Nucleus	 p27 ; 	2.833333E-04						
vC96	Nucleus	 Md + p21 ; Mdp21	1.416667E-06						
vC97	Nucleus	 Mdp21 ; Md + p21	2.361111E-04						
vC98	Nucleus	 Me + p21 ; Mep21	1.888889E-06						
vC99	Nucleus	 Mep21 ; Me + p21	4.722222E-04						
vC100	Nucleus	 Ma + p21 ; Map21	1.416667E-06						
vC101	Nucleus	 Map21 ; Ma + p21	5.902778E-04						
vC102	Nucleus	 Mb + p21 ; Mbp21	1.133333E-06						
vC103	Nucleus	 Mbp21 ; Mb + p21	9.444444E-04						
vC104	Nucleus	 p21 ; 	2.897310E-04						
vA1	Cytoplasm	 L + R ; L_R	1.264830E-03						
vA2	Cytoplasm	 L_R ; L + R	1.000000E-03						
vA3	Cytoplasm	 L_R ; Ractive	1.000000E-06						
vA4	Cytoplasm	 Ractive + flip ; Ractive_flip	3.162075E-03						
vA5	Cytoplasm	 Ractive_flip ; Ractive + flip	1.000000E-03						
vA6	Cytoplasm	 Ractive + pC8 ; Ractive_pC8	3.162075E-03						
vA7	Cytoplasm	 Ractive_pC8 ; Ractive + pC8	1.000000E-03						
vA8	Cytoplasm	 Ractive_pC8 ; Ractive + C8	1.000000E+00						
vA9	Cytoplasm	 C8 + Bar ; C8_Bar	3.162075E-03						
vA10	Cytoplasm	 C8_Bar ; C8 + Bar	1.000000E-03						
vA11	Cytoplasm	 C8 + pC3 ; C8_pC3	3.162075E-04						
vA12	Cytoplasm	 C8_pC3 ; C8 + pC3	1.000000E-03						
vA13	Cytoplasm	 C8_pC3 ; C8 + C3	1.000000E-03						
vA14	Cytoplasm	 C3 + pC6 ; C3_pC6	3.162075E-06						
vA15	Cytoplasm	 C3_pC6 ; C3 + pC6	1.000000E-03						
vA16	Cytoplasm	 C3_pC6 ; C3 + C6	1.000000E+00						
vA17	Cytoplasm	 pC8 + C6 ; C6_C8	9.486225E-06						
vA18	Cytoplasm	 C6_C8 ; pC8 + C6	1.000000E-03						
vA19	Cytoplasm	 C6_C8 ; C8 + C6	1.000000E+00						
vA20	Cytoplasm	 C3 + XIAP ; C3_XIAP	6.324150E-03						
vA21	Cytoplasm	 C3_XIAP ; C3 + XIAP	1.000000E-03						
vA22	Cytoplasm	 C3_XIAP ; XIAP + C3_Ub	1.000000E-01						
vA23	Cytoplasm	 C3 + PARP ; C3_PARP	3.162075E-05						
vA24	Cytoplasm	 C3_PARP ; C3 + PARP	1.000000E-02						
vA25	Cytoplasm	 C3_PARP ; C3 + cPARP	1.000000E+00						
vA26	Cytoplasm	 C8 + Bid ; C8_Bid	3.162075E-06						
vA27	Cytoplasm	 C8_Bid ; C8 + Bid	1.000000E-03						
vA28	Cytoplasm	 C8_Bid ; C8 + tBid	1.000000E-04						
vA29	Cytoplasm	 tBid + Bcl2c ; tBid_Bcl2c	3.162075E-03						
vA30	Cytoplasm	 tBid_Bcl2c ; tBid + Bcl2c	1.000000E-03						
vA31	Cytoplasm	 tBid + Bax ; tBid_Bax	3.162075E-04						
vA32	Cytoplasm	 tBid_Bax ; tBid + Bax	1.000000E-03						
vA33	Cytoplasm	 tBid_Bax ; tBid + Baxactive	1.000000E+00						
vA34	Cytoplasm	 Baxactive ; Baxm	1.000000E-02						
vA35	Mitochondrion	 Baxm ; Baxactive	1.000000E-02						
vA36	Mitochondrion	 Baxm + Bcl2 ; Baxm_Bcl2	3.162075E-03						
vA37	Mitochondrion	 Baxm_Bcl2 ; Baxm + Bcl2	1.000000E-03						
vA38	Mitochondrion	 Baxm + Baxm ; Bax2	3.162075E+02						
vA39	Mitochondrion	 Bax2 ; Baxm + Baxm	1.000000E+01						
vA40	Mitochondrion	 Bcl2 + Bax2 ; Bax2_Bcl2	3.162075E-03						
vA41	Mitochondrion	 Bax2_Bcl2 ; Bcl2 + Bax2	1.000000E-03						
vA42	Mitochondrion	 Bax2 + Bax2 ; Bax4	3.162075E+02						
vA43	Mitochondrion	 Bax4 ; Bax2 + Bax2	1.000000E+01						
vA44	Mitochondrion	 Bcl2 + Bax4 ; Bax4_Bcl2	3.162075E-03						
vA45	Mitochondrion	 Bax4_Bcl2 ; Bcl2 + Bax4	1.000000E-03						
vA46	Mitochondrion	 Bax4 + M ; Bax4_M	3.162075E-03						
vA47	Mitochondrion	 Bax4_M ; Bax4 + M	1.000000E-03						
vA48	Mitochondrion	 Bax4_M ; Bax4 + Mactive	1.000000E+00						
vA49	Mitochondrion	 Mactive + CytoCm ; Mactive_CytoCm	6.324150E-03						
vA50	Mitochondrion	 Mactive_CytoCm ; Mactive + CytoCm	1.000000E+00						
vA51	Mitochondrion	 Mactive_CytoCm ; Mactive + CytoCr	1.000000E-01						
vA52	Mitochondrion	 Mactive + Smacm ; Mactive_Smacm	6.324150E-03						
vA53	Mitochondrion	 Mactive_Smacm ; Mactive + Smacm	1.000000E+00						
vA54	Mitochondrion	 Mactive_Smacm ; Mactive + Smacr	1.000000E-01						
vA55	Mitochondrion	 CytoCr ; CytoC	1.000000E-02						
vA56	Cytoplasm	 CytoC ; CytoCr	1.000000E-02						
vA57	Cytoplasm	 CytoC + Apaf ; CytoC_Apaf	1.581038E-03						
vA58	Cytoplasm	 CytoC_Apaf ; CytoC + Apaf	1.000000E-03						
vA59	Cytoplasm	 CytoC_Apaf ; CytoC + Apafactive	1.000000E+00						
vA60	Cytoplasm	 Apafactive + pC9 ; Apop	1.581038E-04						
vA61	Cytoplasm	 Apop ; Apafactive + pC9	1.000000E-03						
vA62	Cytoplasm	 pC3 + Apop ; Apop_C3	1.581038E-05						
vA63	Cytoplasm	 Apop_C3 ; pC3 + Apop	1.000000E-03						
vA64	Cytoplasm	 Apop_C3 ; C3 + Apop	1.000000E-04						
vA65	Mitochondrion	 Smacr ; Smac	1.000000E-02						
vA66	Cytoplasm	 Smac ; Smacr	1.000000E-02						
vA67	Cytoplasm	 XIAP + Apop ; Apop_XIAP	6.324150E-03						
vA68	Cytoplasm	 Apop_XIAP ; XIAP + Apop	1.000000E-03						
vA69	Cytoplasm	 XIAP + Smac ; Smac_XIAP	2.213453E-02						
vA70	Cytoplasm	 Smac_XIAP ; XIAP + Smac	1.000000E-03						
vA71	Cytoplasm	 Bcl2c + BAD ; Bcl2c_BAD	3.162075E-03						
vA72	Cytoplasm	 Bcl2c_BAD ; Bcl2c + BAD	1.000000E-03						
vA73	Cytoplasm	 Bcl2c + PUMA ; Bcl2c_PUMA	3.162075E-03						
vA74	Cytoplasm	 Bcl2c_PUMA ; Bcl2c + PUMA	1.000000E-03						
vA75	Cytoplasm	 Bcl2c + NOXA ; Bcl2c_NOXA	3.162075E-03						
vA76	Cytoplasm	 Bcl2c_NOXA ; Bcl2c + NOXA	1.000000E-03						
vA77	Cytoplasm	 Bax + BIM ; BIM_Bax	1.581038E-08						
vA78	Cytoplasm	 BIM_Bax ; Bax + BIM	1.000000E-03						
vA79	Cytoplasm	 BIM_Bax ; Baxactive + BIM	1.000000E+00						
vA80	Cytoplasm	 Bcl2c + BIM ; Bcl2c_BIM	3.162075E-03						
vA81	Cytoplasm	 Bcl2c_BIM ; Bcl2c + BIM	1.000000E-03						
vA82	Mitochondrion	 Mactive ; M	1.000000E-02						
vA83	Mitochondrion	 Smacr ; Smacm	1.000000E-02						
vA84	Mitochondrion	 CytoCr ; CytoCm	1.000000E-02						
vA85	Cytoplasm	 Bcl2c ; Bcl2	1.000000E-03						
vA86	Mitochondrion	 Bcl2 ; Bcl2c	1.000000E-01						
vA87	Cytoplasm	 pC8 ; C8	1.000000E-09						
vR1	Cytoplasm	 E + E1 ; EE1	1.000000E-03						
vR2	Cytoplasm	 EE1 ; E + E1	1.000000E-03						
vR3	Cytoplasm	 E2 + EE1 ; EE1E2	1.000000E-02						
vR4	Cytoplasm	 EE1E2 ; E2 + EE1	1.000000E-03						
vR5	Cytoplasm	 E1 + EE1 ; EE1E1	1.000000E-02						
vR6	Cytoplasm	 EE1E1 ; E1 + EE1	1.000000E-02						
vR7	Cytoplasm	 E + EE1E1 ; EE1EE1	1.000000E-03						
vR8	Cytoplasm	 EE1EE1 ; E + EE1E1	2.000000E-02						
vR9	Cytoplasm	 EE1EE1 ; EE1 + EE1	1.000000E-02						
vR10	Cytoplasm	 EE1 + EE1 ; EE1EE1	1.000000E-02						
vR11	Cytoplasm	 E3 + EE1 ; EE1E3	1.000000E-02						
vR12	Cytoplasm	 EE1E3 ; E3 + EE1	1.000000E-03						
vR13	Cytoplasm	 H + EE1E3 ; EE1HE3	1.000000E-03						
vR14	Cytoplasm	 EE1HE3 ; H + EE1E3	1.000000E-02						
vR15	Cytoplasm	 EE1HE3 ; EE1 + HE3	1.000000E-02						
vR16	Cytoplasm	 EE1 + HE3 ; EE1HE3	1.000000E-02						
vR17	Cytoplasm	 Ev3 + EE1 ; EE1Ev3	1.000000E-02						
vR18	Cytoplasm	 EE1Ev3 ; Ev3 + EE1	1.000000E-02						
vR19	Cytoplasm	 E4 + EE1 ; EE1E4	1.000000E-02						
vR20	Cytoplasm	 EE1E4 ; E4 + EE1	1.000000E-02						
vR21	Cytoplasm	 H + EE1E4 ; EE1HE4	1.000000E-03						
vR22	Cytoplasm	 EE1HE4 ; H + EE1E4	1.000000E-02						
vR23	Cytoplasm	 EE1HE4 ; EE1 + HE4	1.000000E-02						
vR24	Cytoplasm	 EE1 + HE4 ; EE1HE4	1.000000E-02						
vR25	Cytoplasm	 H + E3 ; HE3	1.000000E-03						
vR26	Cytoplasm	 HE3 ; H + E3	1.000000E-03						
vR27	Cytoplasm	 E2 + HE3 ; E2HE3	1.000000E-02						
vR28	Cytoplasm	 E2HE3 ; E2 + HE3	1.000000E-02						
vR29	Cytoplasm	 E1 + HE3 ; E1HE3	1.000000E-02						
vR30	Cytoplasm	 E1HE3 ; E1 + HE3	1.000000E-02						
vR31	Cytoplasm	 E + E1HE3 ; EE1HE3	1.000000E-03						
vR32	Cytoplasm	 EE1HE3 ; E + E1HE3	1.000000E-02						
vR33	Cytoplasm	 E3 + HE3 ; HE3E3	1.000000E-02						
vR34	Cytoplasm	 HE3E3 ; E3 + HE3	1.000000E-02						
vR35	Cytoplasm	 H + HE3E3 ; HE3HE3	1.000000E-03						
vR36	Cytoplasm	 HE3HE3 ; H + HE3E3	2.000000E-02						
vR37	Cytoplasm	 HE3HE3 ; HE3 + HE3	1.000000E-02						
vR38	Cytoplasm	 HE3 + HE3 ; HE3HE3	1.000000E-02						
vR39	Cytoplasm	 Ev3 + HE3 ; HE3Ev3	1.000000E-02						
vR40	Cytoplasm	 HE3Ev3 ; Ev3 + HE3	1.000000E-02						
vR41	Cytoplasm	 E4 + HE3 ; HE3E4	1.000000E-02						
vR42	Cytoplasm	 HE3E4 ; E4 + HE3	1.000000E-02						
vR43	Cytoplasm	 H + HE3E4 ; HE3HE4	1.000000E-03						
vR44	Cytoplasm	 HE3HE4 ; H + HE3E4	1.000000E-02						
vR45	Cytoplasm	 HE3HE4 ; HE3 + HE4	1.000000E-02						
vR46	Cytoplasm	 HE3 + HE4 ; HE3HE4	1.000000E-02						
vR47	Cytoplasm	 H + E4 ; HE4	1.000000E-03						
vR48	Cytoplasm	 HE4 ; H + E4	1.000000E-03						
vR49	Cytoplasm	 E2 + HE4 ; E2HE4	1.000000E-02						
vR50	Cytoplasm	 E2HE4 ; E2 + HE4	1.000000E-02						
vR51	Cytoplasm	 E1 + HE4 ; E1HE4	1.000000E-02						
vR52	Cytoplasm	 E1HE4 ; E1 + HE4	1.000000E-02						
vR53	Cytoplasm	 E + E1HE4 ; EE1HE4	1.000000E-03						
vR54	Cytoplasm	 EE1HE4 ; E + E1HE4	1.000000E-02						
vR55	Cytoplasm	 E3 + HE4 ; E3HE4	1.000000E-02						
vR56	Cytoplasm	 E3HE4 ; E3 + HE4	1.000000E-02						
vR57	Cytoplasm	 H + E3HE4 ; HE3HE4	1.000000E-03						
vR58	Cytoplasm	 HE3HE4 ; H + E3HE4	1.000000E-02						
vR59	Cytoplasm	 Ev3 + HE4 ; HE4Ev3	1.000000E-02						
vR60	Cytoplasm	 HE4Ev3 ; Ev3 + HE4	1.000000E-02						
vR61	Cytoplasm	 E4 + HE4 ; HE4E4	1.000000E-02						
vR62	Cytoplasm	 HE4E4 ; E4 + HE4	1.000000E-02						
vR63	Cytoplasm	 H + HE4E4 ; HE4HE4	1.000000E-03						
vR64	Cytoplasm	 HE4HE4 ; H + HE4E4	2.000000E-02						
vR65	Cytoplasm	 HE4HE4 ; HE4 + HE4	1.000000E-02						
vR66	Cytoplasm	 HE4 + HE4 ; HE4HE4	1.000000E-02						
